"File","Line","Severity","Code","Message"
"docs\architecture\download-and-parsing.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\parallel-plugin-runtime.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\parallel-plugin-runtime.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\PHASE-2-WEB-FILE-INGESTION.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\PHASE-2-WEB-FILE-INGESTION.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\build\AdministratorGuide-document-inventory.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\AdministratorGuide-document-inventory.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\APIReference-document-inventory.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\APIReference-document-inventory.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\DeveloperGuide-document-inventory.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\DeveloperGuide-document-inventory.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\OpenData-Administrator-Guide.md","11","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\OpenData-Administrator-Guide.md","11","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\OpenData-API-Reference.md","11","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\OpenData-API-Reference.md","11","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\OpenData-Developer-Guide.md","11","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\OpenData-Developer-Guide.md","11","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\OpenData-Technical-Documentation.md","9","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\OpenData-Technical-Documentation.md","1094","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\build\OpenData-Technical-User-Guide.md","11","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\OpenData-Technical-User-Guide.md","11","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\technical-document-inventory.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\technical-document-inventory.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\build\TechnicalUserGuide-document-inventory.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\build\TechnicalUserGuide-document-inventory.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\ChangeLog.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\ChangeLog.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\CODE_OF_CONDUCT.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\CODE_OF_CONDUCT.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\Contributions.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\Contributions.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0001-plugin-architecture.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0001-plugin-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0002-apache-commons-cli.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0002-apache-commons-cli.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0003-java-util-logging.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0003-java-util-logging.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0004-parameter-file-layering.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0004-parameter-file-layering.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0005-sql-server-persistence.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0005-sql-server-persistence.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0006-package-info-documentation.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0006-package-info-documentation.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0007-modular-monolith.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0007-modular-monolith.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0008-java-17-records-immutable-models.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0008-java-17-records-immutable-models.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0009-common-staged-etl-pipeline.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0009-common-staged-etl-pipeline.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0010-constructor-injection-no-di-framework.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0010-constructor-injection-no-di-framework.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0011-jdk-http-client-downloads.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0011-jdk-http-client-downloads.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0012-plugin-properties-before-database-configuration.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0012-plugin-properties-before-database-configuration.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0013-plugin-manifest-and-registry.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0013-plugin-manifest-and-registry.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0014-framework-metadata-and-plugin-business-tables.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0014-framework-metadata-and-plugin-business-tables.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0015-database-abstraction-sql-server-first.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0015-database-abstraction-sql-server-first.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0016-exception-hierarchy-and-boundary-translation.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0016-exception-hierarchy-and-boundary-translation.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0017-documentation-as-code.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0017-documentation-as-code.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0018-minimal-dependencies-standard-java-first.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0018-minimal-dependencies-standard-java-first.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0019-ofgem-reference-plugin.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0019-ofgem-reference-plugin.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0020-internal-scheduling-deferred.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0020-internal-scheduling-deferred.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0021-apache-commons-csv.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0021-apache-commons-csv.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0021-configuration-resolution-and-validation.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0021-configuration-resolution-and-validation.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0022-cli-control-commands-and-exit-codes.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0022-cli-control-commands-and-exit-codes.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0022-jsoup-html-link-discovery.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0022-jsoup-html-link-discovery.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0023-apache-poi-excel.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0023-apache-poi-excel.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0023-format-parser-adapters.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0023-format-parser-adapters.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0024-credential-references-not-secrets.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0024-credential-references-not-secrets.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0024-imap-email-attachment-source.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0024-imap-email-attachment-source.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0025-database-plugin-configuration-json.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0025-database-plugin-configuration-json.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0025-octopus-email-bill-plugin.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0025-octopus-email-bill-plugin.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0026-openmeteo-reference-plugin.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0026-openmeteo-reference-plugin.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0026-transactional-octopus-record-persistence.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0026-transactional-octopus-record-persistence.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0027-idempotent-email-attachment-processing.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0027-idempotent-email-attachment-processing.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0028-openmeteo-historical-weather-plugin.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0028-openmeteo-historical-weather-plugin.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0029-web-file-discovery-and-tabular-parsing.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0029-web-file-discovery-and-tabular-parsing.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0030-bounded-parallel-plugin-execution.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0030-bounded-parallel-plugin-execution.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0030-managed-database-connection-pool.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0030-managed-database-connection-pool.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0031-database-concurrency-owned-by-transactions.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0031-database-concurrency-owned-by-transactions.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0031-normalised-ofgem-price-cap-schema.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0031-normalised-ofgem-price-cap-schema.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0032-explicit-jdbc-repositories.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0032-explicit-jdbc-repositories.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0032-openmeteo-relational-storage.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0032-openmeteo-relational-storage.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0033-contextual-jul-for-concurrent-plugins.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0033-contextual-jul-for-concurrent-plugins.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0033-ordered-idempotent-sql-scripts.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0033-ordered-idempotent-sql-scripts.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0034-ingestion-audit-and-source-provenance.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0034-ingestion-audit-and-source-provenance.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0035-transactional-period-replacement.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0035-transactional-period-replacement.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0036-least-privilege-application-role.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\decisions\ADR-0036-least-privilege-application-role.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\decisions\ADR-0037-preserve-source-cell-lineage.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
